ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10758,MATH,2310,200,Lecture,"4","Zachary Beamer, -","TuTh 9:30am - 10:45am","New Cabell Hall 323","Calculus III","",Wait List,36,36,2
10761,MATH,2310,201,Discussion,"0","Astrid Lilly","We 4:00pm - 4:50pm","John W. Warner Hall 104","Calculus III","",Wait List,36,36,2
10759,MATH,2310,300,Lecture,"4","Evangelos Dimou","MoWe 5:00pm - 6:15pm","New Cabell Hall 323","Calculus III","",Open,25,36,0
10762,MATH,2310,301,Discussion,"0","Suren Kyurumyan","Tu 5:00pm - 5:50pm","Clark Hall G004","Calculus III","",Open,25,36,0
14206,MATH,2310,400,Lecture,"4","You Qi","TuTh 12:30pm - 1:45pm","New Cabell Hall 232","Calculus III","",Wait List,36,36,7
14207,MATH,2310,401,Discussion,"0","Suren Kyurumyan","Mo 5:00pm - 5:50pm","New Cabell Hall 309","Calculus III","",Wait List,36,36,7
12088,MATH,3000,100,Lecture,"4","Peter Abramenko","MoWeFr 10:00am - 10:50am","New Cabell Hall 232","Transition to Higher Mathematics","",Open,25,35,0
12089,MATH,3000,101,Discussion,"0","Ziming Chen","Th 4:00pm - 4:50pm","New Cabell Hall 489","Transition to Higher Mathematics","",Open,25,35,0
11624,MATH,3100,001,Lecture,"3","Evangelos Dimou","MoWe 2:00pm - 3:15pm","New Cabell Hall 323","Introduction to Probability","",Open,35,36,5
11803,MATH,3100,002,Lecture,"3","Evangelos Dimou","MoWe 3:30pm - 4:45pm","New Cabell Hall 323","Introduction to Probability","",Wait List,36,36,1
19825,MATH,3100,003,Lecture,"3","Christian Gromoll","TuTh 12:30pm - 1:45pm","New Cabell Hall 389","Introduction to Probability","",Wait List,36,36,5
10763,MATH,3250,100,Lecture,"4","Brandon Shapiro","TuTh 9:30am - 10:45am","New Cabell Hall 489","Ordinary Differential Equations","",Wait List,36,36,1
10766,MATH,3250,101,Discussion,"0","Aaratrick Basu","Mo 6:00pm - 6:50pm","John W. Warner Hall 104","Ordinary Differential Equations","",Wait List,36,36,1
10764,MATH,3250,200,Lecture,"4","Brandon Shapiro","TuTh 11:00am - 12:15pm","New Cabell Hall 489","Ordinary Differential Equations","",Wait List,36,36,4
10765,MATH,3250,201,Discussion,"0","Aaratrick Basu","Mo 5:00pm - 5:50pm","Clark Hall G004","Ordinary Differential Equations","",Wait List,36,36,4
19829,MATH,3250,400,Lecture,"4","Tai Melcher","MoWe 2:00pm - 3:15pm","New Cabell Hall 489","Ordinary Differential Equations","",Wait List,36,36,4
19830,MATH,3250,401,Discussion,"0","Vadim Leshkov","Tu 5:00pm - 5:50pm","New Cabell Hall 323","Ordinary Differential Equations","",Wait List,36,36,4
10767,MATH,3310,100,Lecture,"4","Jacob Campbell","MoWe 2:00pm - 3:15pm","New Cabell Hall 389","Basic Real Analysis","",Wait List,36,35,10
